AÑO,N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),HOMBRE,MUJER,TOTAL,PIB,TASA DE DESEMPLEO,POBLACI�N TOTAL,CULTIVOS ÍLICITOS COCA (Hectareas),INVERSI�N EN REGALÍAS PESOS,POBREZA MULTIDIMENSIONAL
2020,5,Antioquia,1703,137,1840,609,15.925869799062,6848.047,12090.19,342592140734.5,14.9
2020,8,Atlántico,493,38,531,122644,10.795082257704,2602.059,0,59248013923.61,14.1
2020,11,Bogotá,945,95,1040,4577,18.192695111925,8363.103,0,76864101256,7.5
2020,13,Bolívar,386,28,414,36557,10.227423790493,2220.937,9373.25,285878926522.84,28.1
2020,15,Boyacá,69,9,78,214905,12.212038786731,1287.56,6.35,119306138522.18,11.7
2020,17,Caldas,140,10,150,28542,16.369067489076,998.554,0,33223913028.35,14.5
2020,18,Caquetá,133,9,142,22046,17.59118731513,508.741,2054.94,205162263018.3,26.1
2020,19,Cauca,675,65,740,13187,13.745441496263,1439.745,16543.83,141665251376.5,28.2
2020,20,Cesar,199,19,218,3393,15.488795284599,1090.176,32.22,248702327496.2,27.2
2020,23,Córdoba,219,22,241,12098,15.741334284481,1840.974,3748.82,381301703228.33,31.8
2020,25,Cundinamarca,306,34,340,14609,15.822173752666,2883.58,0,196543535279.52,11.4
2020,27,Chocó,195,15,210,13836,11.4219098691,525.59,1467.64,169994887112.94,49
2020,41,Huila,218,21,239,3291,13.584902415957,1225.99,0,145435212896.92,23.4
2020,44,La Guajira,176,10,186,13974,10.895044901402,1094.911,0,292044128616.09,51.7
2020,47,Magdalena,263,24,287,50067,12.289634441392,1326.808,2.07,278695338078.54,33.4
2020,50,Meta,250,26,276,287,20.299996587555,1054.964,1234.86,264072125036.03,14.1
2020,52,Nariño,337,35,372,675,9.2135909905298,1852.859,30751.38,294477083466.89,27.3
2020,54,Norte de Santander,558,38,596,13087,21.041868957218,1414.287,40083.7,224643598318.5,26.1
2020,63,Quindío,149,15,164,6471,21.558924954842,582.829,0,29091059859.23,12.9
2020,66,Risaralda,196,11,207,10828,13.652420818327,977.927,0,126885436142,13.1
2020,68,Santander,264,28,292,28255,14.573515956286,2107.655,3.12,155640050814.91,12.5
2020,70,Sucre,122,9,131,12472,14.911715000166,895.751,0,264849338168.92,38.1
2020,73,Tolima,201,15,216,12814,21.669369597239,1427.62,0,97365210074.78,19
2020,76,Valle del Cauca,1844,142,1986,2822,18.905784474225,4845.345,1937.86,259113841877.69,11.1
2020,81,Arauca,87,9,96,6552,,294.206,0,115250361790.82,26.1
2020,85,Casanare,76,10,86,13230,,435195,0,140174978829.46,19.6
2020,86,Putumayo,140,17,157,1101,,359127,19986.18,344950141709.39,27.8
2020,88,Archipiélago de San Andrés_ Providencia y Santa Catalina,37,1,38,51882,,63692,0,91667483327,11.9
2020,91,Amazonas,11,2,13,6930,,79020,61.45,27146416336,39
2020,94,Guainía,4,1,5,17361,,50636,19.15,15512600657,65.9
2020,95,Guaviare,17,1,18,82495,,86657,3226.65,82303426899.8,34.6
2020,97,Vaupés,2,1,3,236,,44712,39.33,22954114095,65.6
2020,99,Vichada,12,2,14,552,,112958,120.98,43824679421.08,75.6
2019,5,Antioquia,1956,181,2137,664,11.18432235599,6768.356,9481.93,674868564764.43,15.7
2019,8,Atlántico,492,51,543,129719,7.1278609957134,2573.573,0,315499746235.95,14.9
2019,11,Bogotá,993,101,1094,4596,10.898997675155,8264.02,0,15987604161.55,7.1
2019,13,Bolívar,338,23,361,38800,4.9784184844893,2195.466,7965.09,556570312586.1,26.9
2019,15,Boyacá,71,8,79,229512,8.6256636607536,1284.394,4.24,366234854812.6,12.8
2019,17,Caldas,146,20,166,32012,10.985462846158,995.825,0,223945101418.47,14.3
2019,18,Caquetá,165,20,185,23786,11.062517625412,502.406,4511.46,194094891901.06,25.7
2019,19,Cauca,582,54,636,13789,10.1625572447,1426.885,17355.83,581644743056.08,24
2019,20,Cesar,216,16,232,3601,13.168369885559,1077.767,38.16,659665103369.44,25.5
2019,23,Córdoba,301,18,319,13487,11.213970050515,1813.812,2881.86,328293266860.21,34.7
