,ano,c_digo_departamento,departamento,tasa_matriculacion_5_16,cobertura_neta,desercion
0,2011,5,Antioquia,94.01,93.85,3.97
1,2011,8,Atlántico,99.32,99.05,2.76
2,2011,11,"Bogotá, D.C.",90.7,90.29,3.95
3,2011,13,Bolívar,91.57,91.4,3.14
4,2011,15,Boyacá,86.16,86.11,3.07
5,2011,17,Caldas,87.04,86.98,4.13
6,2011,18,Caquetá,88.78,88.76,3.64
7,2011,19,Cauca,86.35,86.21,2.75
8,2011,20,Cesar,94.75,94.57,7.07
9,2011,23,Córdoba,94.53,94.46,4.59
10,2011,25,Cundinamarca,92.13,91.93,3.6
11,2011,27,Chocó,83.79,83.79,4.29
12,2011,41,Huila,90.52,90.47,4.38
13,2011,44,La Guajira,77.12,77,6.17
14,2011,47,Magdalena,94.47,94.32,3.63
15,2011,50,Meta,93.65,93.59,5.55
16,2011,52,Nariño,80.53,80.5,10.17
17,2011,54,Norte de Santander,89.04,88.96,6.87
18,2011,63,Quindio,90.87,90.83,5.04
19,2011,66,Risaralda,95.61,95.43,4.79
20,2011,68,Santander,92.49,92.4,3.68
21,2011,70,Sucre,103.27,103.2,6.74
22,2011,73,Tolima,88.8,88.71,4.61
23,2011,76,Valle del Cauca,88.51,88.33,4.24
24,2011,81,Arauca,74.15,74.11,2.14
25,2011,85,Casanare,101.11,101.05,3.88
26,2011,86,Putumayo,80.46,80.46,4.18
27,2011,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",67.28,67.23,1.72
28,2011,91,Amazonas,82.34,82.32,5.46
29,2011,94,Guainía,74.87,74.87,10.94
30,2011,95,Guaviare,64.04,64.02,9.02
31,2011,97,Vaupés,62.18,62.18,9.94
32,2011,99,Vichada,73.07,72.98,7.33
33,2012,5,Antioquia,92.79,92.65,4.01
34,2012,8,Atlántico,91.59,91.43,3.32
35,2012,11,"Bogotá, D.C.",86.94,86.52,3.89
36,2012,13,Bolívar,88.97,88.87,3.39
37,2012,15,Boyacá,85.7,85.64,3.23
38,2012,17,Caldas,84.55,84.5,4.64
39,2012,18,Caquetá,83.28,83.25,7.23
40,2012,19,Cauca,83.48,83.4,4.02
41,2012,20,Cesar,94.15,94.01,5.13
42,2012,23,Córdoba,93.78,93.69,2.95
43,2012,25,Cundinamarca,91.17,90.97,2.94
44,2012,27,Chocó,80.97,80.95,2.09
45,2012,41,Huila,89.77,89.73,5.23
46,2012,44,La Guajira,75.42,75.33,6.81
47,2012,47,Magdalena,91.82,91.64,6.22
48,2012,50,Meta,93.35,93.29,5.85
49,2012,52,Nariño,77.75,77.73,1.84
50,2012,54,Norte de Santander,86,85.93,4.89
51,2012,63,Quindio,88.77,88.74,6.23
52,2012,66,Risaralda,92.91,92.77,7.04
53,2012,68,Santander,92.21,92.11,4.67
54,2012,70,Sucre,95.6,95.55,4.83
55,2012,73,Tolima,87.47,87.42,5.11
56,2012,76,Valle del Cauca,88.26,88.09,4.32
57,2012,81,Arauca,72.33,72.29,4.99
58,2012,85,Casanare,103.94,103.88,6.52
59,2012,86,Putumayo,78.17,78.17,6.16
60,2012,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",68.7,68.65,1.26
61,2012,91,Amazonas,81.87,81.87,4.7
62,2012,94,Guainía,70.82,70.82,8.91
63,2012,95,Guaviare,59.2,59.18,4.86
64,2012,97,Vaupés,62.32,62.32,7.62
65,2012,99,Vichada,66.75,66.75,5.07
66,2013,5,Antioquia,92.06,91.93,3.57
67,2013,8,Atlántico,86.41,86.22,3.12
68,2013,11,"Bogotá, D.C.",84.5,84.07,3.68
69,2013,13,Bolívar,89.66,89.55,2.56
70,2013,15,Boyacá,85.1,85.05,2.45
71,2013,17,Caldas,82.58,82.54,4.1
72,2013,18,Caquetá,80.95,80.94,6.55
73,2013,19,Cauca,84.34,84.33,3.74
74,2013,20,Cesar,94.92,94.8,4.53
75,2013,23,Córdoba,93.39,93.35,2.3
76,2013,25,Cundinamarca,90.49,90.28,3.17
77,2013,27,Chocó,79.59,79.59,4.59
78,2013,41,Huila,89.73,89.68,4.78
79,2013,44,La Guajira,74.8,74.73,5.27
